id,price,descripcion
vidrios_garrafa_4l,$27.600,Limpiavidrios — Garrafa 4 L
vidrios_garrafa_20l,$118.200,Limpiavidrios — Garrafa 20 L
descocina_atom_500ml,$10.800,Desengrasante Cocina — Spray 500 ml
descocina_bolsa_1l,$16.500,Desengrasante Cocina — Botella 1 L
descocina_repuesto_4l,$65.600,Desengrasante Cocina — Repuesto 4 L
descocina_repuesto_20l,$297.900,Desengrasante Cocina — Repuesto 20 L
descocina_caja_4l,$68.000,Desengrasante Cocina — Caja 4 L
descocina_caja_20l,$305.600,Desengrasante Cocina — Caja 20 L
descocina_garrafa_4l,$68.000,Desengrasante Cocina — Garrafa 4 L
descocina_garrafa_20l,$319.400,Desengrasante Cocina — Garrafa 20 L
ambientador_bolsa_500ml,$4.400,Ambientador Limpiapisos — Bolsa 500 ml
ambientador_bolsa_1l,$7.100,Ambientador Limpiapisos — Bolsa 1 L
ambientador_repuesto_4l,$28.000,Ambientador Limpiapisos — Repuesto 4 L
ambientador_repuesto_20l,$110.100,Ambientador Limpiapisos — Repuesto 20 L
ambientador_caja_4l,$30.400,Ambientador Limpiapisos — Caja 4 L
ambientador_caja_20l,$117.800,Ambientador Limpiapisos — Caja 20 L
ambientador_garrafa_4l,$30.400,Ambientador Limpiapisos — Garrafa 4 L
ambientador_garrafa_20l,$131.800,Ambientador Limpiapisos — Garrafa 20 L
eliminador_atom_500ml,$8.200,Eliminador de Olores — Spray 500 ml
eliminador_bolsa_500ml,$6.500,Eliminador de Olores — Bolsa 500 ml
eliminador_bolsa_1l,$11.400,Eliminador de Olores — Bolsa 1 L
eliminador_repuesto_4l,$44.800,Eliminador de Olores — Repuesto 4 L
eliminador_repuesto_20l,$193.800,Eliminador de Olores — Repuesto 20 L
eliminador_caja_4l,$47.200,Eliminador de Olores — Caja 4 L
eliminador_caja_20l,$201.600,Eliminador de Olores — Caja 20 L
eliminador_garrafa_4l,$47.200,Eliminador de Olores — Garrafa 4 L
eliminador_garrafa_20l,$215.600,Eliminador de Olores — Garrafa 20 L
desinfectante_atom_500ml,$6.300,Limpiador Desinfectante — Spray 500 ml
desinfectante_bolsa_500ml,$4.500,Limpiador Desinfectante — Bolsa 500 ml
desinfectante_bolsa_1l,$7.400,Limpiador Desinfectante — Bolsa 1 L
desinfectante_repuesto_4l,$28.800,Limpiador Desinfectante — Repuesto 4 L
desinfectante_repuesto_20l,$114.300,Limpiador Desinfectante — Repuesto 20 L
desinfectante_caja_4l,$31.200,Limpiador Desinfectante — Caja 4 L
desinfectante_caja_20l,$122.100,Limpiador Desinfectante — Caja 20 L
desinfectante_garrafa_4l,$31.200,Limpiador Desinfectante — Garrafa 4 L
desinfectante_garrafa_20l,$136.000,Limpiador Desinfectante — Garrafa 20 L
shampoo_bolsa_500ml,$7.200,Shampoo Vehículos — Bolsa 500 ml
shampoo_bolsa_1l,$12.300,Shampoo Vehículos — Bolsa 1 L
shampoo_repuesto_4l,$47.000,Shampoo Vehículos — Repuesto 4 L
shampoo_repuesto_20l,$202.800,Shampoo Vehículos — Repuesto 20 L
shampoo_caja_4l,$48.800,Shampoo Vehículos — Caja 4 L
shampoo_caja_20l,$210.000,Shampoo Vehículos — Caja 20 L
shampoo_garrafa_4l,$48.800,Shampoo Vehículos — Garrafa 4 L
shampoo_garrafa_20l,$224.400,Shampoo Vehículos — Garrafa 20 L
despro_tarro_500ml,$12.600,Desengrasante Profesional — Tarro 500 ml
despro_bolsa_500ml,$10.000,Desengrasante Profesional — Bolsa 500 ml
despro_bolsa_1l,$17.800,Desengrasante Profesional — Bolsa 1 L
despro_repuesto_4l,$69.000,Desengrasante Profesional — Repuesto 4 L
despro_repuesto_20l,$313.200,Desengrasante Profesional — Repuesto 20 L
despro_caja_4l,$71.000,Desengrasante Profesional — Caja 4 L
despro_caja_20l,$320.400,Desengrasante Profesional — Caja 20 L
despro_garrafa_4l,$71.000,Desengrasante Profesional — Garrafa 4 L
despro_garrafa_20l,$335.000,Desengrasante Profesional — Garrafa 20 L
motores_bolsa_500ml,$6.800,Desengrasante Motores — Bolsa 500 ml
motores_bolsa_1l,$11.400,Desengrasante Motores — Bolsa 1 L
motores_repuesto_4l,$43.400,Desengrasante Motores — Repuesto 4 L
motores_repuesto_20l,$184.700,Desengrasante Motores — Repuesto 20 L
motores_caja_4l,$45.300,Desengrasante Motores — Caja 4 L
motores_caja_20l,$191.900,Desengrasante Motores — Caja 20 L
motores_garrafa_4l,$45.300,Desengrasante Motores — Garrafa 4 L
motores_garrafa_20l,$206.400,Desengrasante Motores — Garrafa 20 L
